EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha,Deforestation_emissions_incl_peat_MtCO2,Deforestation_emissions_excl_peat_MtCO2
AU,i01.a,2005,0,0.0149203374118229,0
AU,i01.a,2006,0,0.0313160765409672,0
AU,i01.a,2007,0,0.00640657577266041,0
AU,i01.a,2008,0,0.000689760014035346,0
AU,i01.a,2009,1150.25844628446,0.427086617648756,0.424793430108148
AU,i01.a,2010,4373.8658714085,1.20878957708255,1.20309060311931
AU,i01.a,2011,4373.8658714085,1.23219337548821,1.20309060311931
AU,i01.a,2012,4373.8658714085,1.24142306581779,1.20309060311931
AU,i01.a,2013,4373.8658714085,1.24591197056297,1.20309060311931
AU,i01.a,2014,3223.60742512403,0.809140442611109,0.778297173011158
AU,i01.a,2015,0,0.0261946928773799,0
AU,i01.a,2016,0,0.0103593550035616,0
AU,i01.a,2017,33.7015179306982,0.0408362408012471,0.0118419001978088
AU,i01.a,2018,33.7015179306982,0.0359261227455565,0.0118419001978088
AU,i01.b,2005,0,5.85530471986198,0
AU,i01.b,2006,0,5.72307017539383,0
AU,i01.b,2007,0,5.75279557256148,0
AU,i01.b,2008,0,5.61433213484529,0
AU,i01.b,2009,14458.9984026238,11.6787326690896,5.20932547784945
AU,i01.b,2010,26958.8831007643,14.3826097666619,8.11450756236156
AU,i01.b,2011,26958.8831007643,15.8920941566191,8.11450756236156
AU,i01.b,2012,26958.8831007643,15.8665794672111,8.11450756236156
AU,i01.b,2013,26958.8831007643,15.450894411132,8.11450756236156
AU,i01.b,2014,12499.8846981405,10.5141855668136,2.90518208451211
AU,i01.b,2015,0,6.9846659163033,0
AU,i01.b,2016,0,6.58458229520521,0
AU,i01.b,2017,0,6.44994968183962,0
AU,i01.b,2018,0,6.45075210116555,0
AU,i01.c,2005,0,2.98193762867007,0
AU,i01.c,2006,0,3.05259027651216,0
AU,i01.c,2007,0,3.06872427672611,0
AU,i01.c,2008,0,3.38265333461161,0
AU,i01.c,2009,0,3.41239646311979,0
AU,i01.c,2010,539.121884820214,2.94361304500819,0.125300935086312
AU,i01.c,2011,539.121884820214,3.28188087582799,0.125300935086312
AU,i01.c,2012,539.121884820214,3.15100305151711,0.125300935086312
AU,i01.c,2013,539.121884820214,3.1146772594244,0.125300935086312
AU,i01.c,2014,539.121884820214,3.31131995506815,0.125300935086312
AU,i01.c,2015,0,3.32437421105366,0
AU,i01.c,2016,0,3.30815059058101,0
AU,i01.c,2017,67.7222270901323,3.43154589125125,0.0231957957759108
AU,i01.c,2018,67.7222270901323,3.36453932156787,0.0231957957759108
AU,i01.d,2005,0,0.906465557588821,0
AU,i01.d,2006,0,1.05511916569427,0
AU,i01.d,2007,0,1.0667363131954,0
AU,i01.d,2008,0,0.881834670161141,0
AU,i01.d,2009,6298.91952900955,2.99601138940486,1.95021746025707
AU,i01.d,2010,17862.6817438584,5.25899297777724,4.03926519093118
AU,i01.d,2011,17862.6817438584,5.37020290970452,4.03926519093118
AU,i01.d,2012,17862.6817438584,5.28414997443586,4.03926519093118
AU,i01.d,2013,17862.6817438584,5.17317076535338,4.03926519093118
AU,i01.d,2014,11563.7309003876,3.27748417070764,2.08905127184086
AU,i01.d,2015,0,1.42870759689879,0
AU,i01.d,2016,0,1.7340322989618,0
AU,i01.d,2017,300.719134507842,1.85947826493021,0.0932845363852839
AU,i01.d,2018,300.719134507842,1.53515539738089,0.0932845363852839
AU,i01.e,2005,0,0.650122327362106,0
AU,i01.e,2006,0,0.512010860154031,0
AU,i01.e,2007,0,0.541297951998266,0
AU,i01.e,2008,0,0.611320939686883,0
AU,i01.e,2009,12574.4471554975,5.39905703166638,4.53035446252748
AU,i01.e,2010,38395.5019663924,11.3355793317996,10.531599086086
AU,i01.e,2011,38395.5019663924,11.7745620076522,10.531599086086
AU,i01.e,2012,38395.5019663924,11.9608421417011,10.531599086086
AU,i01.e,2013,38395.5019663924,12.4339791635004,10.531599086086
AU,i01.e,2014,25821.0548108949,7.67859052019889,6.00124462355853
AU,i01.e,2015,0,1.66909947903163,0
AU,i01.e,2016,0,1.25564837378437,0
AU,i01.e,2017,1066.59750128056,1.81090952092169,0.365155915952453
AU,i01.e,2018,1066.59750128056,2.27644994000328,0.365155915952453
AU,i01.f,2005,0,0.189629954922469,0
AU,i01.f,2006,0,0.182944141623066,0
AU,i01.f,2007,0,0.199250097817708,0
AU,i01.f,2008,0,0.169855486424322,0
AU,i01.f,2009,0,0.187094171382849,0
AU,i01.f,2010,0,0.175869084182591,0
AU,i01.f,2011,0,0.177480712916157,0
AU,i01.f,2012,0,0.188823670373883,0
AU,i01.f,2013,0,0.18613322255718,0
AU,i01.f,2014,0,0.226351280046455,0
AU,i01.f,2015,0,0.212371261536515,0
AU,i01.f,2016,0,0.260999718028887,0
AU,i01.f,2017,0,0.239916493724901,0
AU,i01.f,2018,0,0.26168743891282,0
AU,i01.g,2005,0,0.140227749398253,0
AU,i01.g,2006,0,0.154314345911423,0
AU,i01.g,2007,0,0.070021129563175,0
AU,i01.g,2008,0,0.0279861645038931,0
AU,i01.g,2009,8229.34646180408,3.04330622629053,2.96489030538566
AU,i01.g,2010,22764.2297568476,6.43709978224727,6.34304006988041
AU,i01.g,2011,22764.2297568476,6.68192187123417,6.34304006988041
AU,i01.g,2012,22764.2297568476,6.67565703640693,6.34304006988041
AU,i01.g,2013,22764.2297568476,6.59400392631472,6.34304006988041
AU,i01.g,2014,14534.8832950435,3.61343828126322,3.37814976449475
AU,i01.g,2015,0,0.111112364280917,0
AU,i01.g,2016,0,0.163661467538521,0
AU,i01.g,2017,199.791258429513,0.342768586988503,0.0683997101845189
AU,i01.g,2018,199.791258429513,0.35498407778607,0.0683997101845189
AU,i01.h,2005,0,0.00100855607856394,0
AU,i01.h,2006,0,0.00118391989977944,0
AU,i01.h,2007,0,0.000952794478874958,0
AU,i01.h,2008,0,0.00150062974580684,0
AU,i01.h,2009,0.53234584051823,0.00135847083769995,0.000191794941310427
AU,i01.h,2010,11.8578710359061,0.00387616841737963,0.00282403625312237
AU,i01.h,2011,11.8578710359061,0.00425837977076976,0.00282403625312237
AU,i01.h,2012,11.8578710359061,0.00421975201902879,0.00282403625312237
AU,i01.h,2013,11.8578710359061,0.00413650939420451,0.00282403625312237
